specimen_studbook_number,housename,whisker_region,sample_number,weight_mg,segment_length_mm,cummulative_start_length_from_base_mm,segment,cummulative_end_length_from_base_mm,spike_in_N,date,days_before_whisker_collected,growth_rate_between_label_events,N_raw,C_raw,N,C,note,N_wgt,C_wgt,C/N molar
A70672,Tex,Base,1,0.42,2,0,to,2,no,09/09/2011,0,,15.1,-22.11,12.63,-21.68,0.42,17.64,51.78,3.42
A70672,Tex,,2,0.85,3,2,to,5,no,,,,14.63,-22.06,12.16,-21.64,0.85,14.29,42.06,3.43
A70672,Tex,,3,0.7,2.5,5,to,7.5,no,,,,15.63,-21.74,13.17,-21.33,0.7,13.4,39.31,3.42
A70672,Tex,,4,0.78,3,7.5,to,10.5,no,,,,15.62,-21.65,13.16,-21.24,0.78,11.68,34.33,3.43
A70672,Tex,,5,0.79,3,10.5,to,13.5,no,,,,15.52,-21.3,13.06,-20.9,0.79,13.22,38.98,3.44
A70672,Tex,,6,0.6,2.5,13.5,to,16,no,,,,16.89,-21.5,14.43,-21.09,0.6,13.25,38.96,3.43
A70672,Tex,,7,0.62,3,16,to,19,yes,09/06/2011,92,0.21,32.51,-20.11,30.08,-19.75,0.62,13.7,40.43,3.44
A70672,Tex,,8,0.66,3,19,to,22,no,,,,16.5,-21.21,14.04,-20.81,0.66,14.09,41.58,3.44
A70672,Tex,,9,0.66,3,22,to,25,no,,,,13.77,-21.6,11.3,-21.19,0.66,13.05,38.55,3.45
A70672,Tex,,10,0.75,4,25,to,29,no,,,,14.12,-22.11,11.65,-21.68,0.75,13.22,39.35,3.47
A70672,Tex,,11,0.77,4,29,to,33,no,,,,12.46,-22.01,9.99,-21.59,0.77,12.67,37.66,3.47
A70672,Tex,,12,0.75,4,33,to,37,no,,,,13.8,-21.54,11.33,-21.13,0.75,12.86,37.82,3.43
A70672,Tex,,13,0.64,4.5,37,to,41.5,no,,,,14.67,-22.8,12.2,-22.35,0.64,13.85,40.75,3.43
A70672,Tex,,14,0.78,5,41.5,to,46.5,no,,,,14.02,-22.65,11.55,-22.21,0.78,12.57,37.04,3.44
A70672,Tex,,15,0.63,5,46.5,to,51.5,no,,,,14.48,-21.76,12.01,-21.35,0.63,15.23,44.4,3.4
A70672,Tex,,16,0.65,5,51.5,to,56.5,no,,,,14.74,-21.56,12.27,-21.15,0.65,13.45,39.28,3.41
A70672,Tex,,17,0.61,6,56.5,to,62.5,no,,,,14,-21.64,11.53,-21.23,0.61,15.56,45.42,3.41
A70672,Tex,,18,0.7,8,62.5,to,70.5,no,,,,13.45,-20.76,10.98,-20.38,0.7,14.49,42.06,3.39
A70672,Tex,,19,0.7,9,70.5,to,79.5,no,,,,12.41,-21.71,9.94,-21.3,0.7,13.09,37.76,3.37
A70672,Tex,Tip,20,0.84,31,79.5,to,110.5,no,,,,13.82,-20.83,11.35,-20.45,0.84,18.14,53.06,3.41
A70674,Martha,Base,1,0.73,1.5,0,to,1.5,no,09/09/2011,0,,15.07,-17.57,12.63,-17.41,0.73,15.15,44.4,3.42
A70674,Martha,,2,0.74,1.6,1.5,to,3.1,no,,,,14.53,-17.92,12.1,-17.76,0.74,13.84,40.63,3.42
A70674,Martha,,3,0.61,1.9,3.1,to,5,no,,,,14.02,-18.19,11.59,-18.03,0.61,13.02,38.19,3.42
A70674,Martha,,4,0.61,2,5,to,7,no,,,,14.32,-18.32,11.89,-18.15,0.61,14.25,41.76,3.42
A70674,Martha,,5,0.69,2,7,to,9,no,,,,14.15,-19.28,11.72,-19.11,0.69,14.24,41.95,3.44
A70674,Martha,,6,0.65,2,9,to,11,no,,,,14.33,-20.03,11.9,-19.85,0.65,13.88,40.77,3.43
A70674,Martha,,7,0.71,2.5,11,to,13.5,no,,,,16.25,-18.97,13.8,-18.8,0.71,13.61,40.07,3.43
A70674,Martha,,8,0.66,2,13.5,to,15.5,no,,,,17.47,-18.36,14.96,-18.23,0.66,13.83,42.52,3.59
A70674,Martha,,9,0.81,2.1,15.5,to,17.6,no,,,,17.72,-18.6,15.21,-18.46,0.81,12.69,39.16,3.6
A70674,Martha,,10,0.82,3,17.6,to,20.6,no,,,,34.08,-17.47,31.55,-17.34,0.82,14.56,45.08,3.61
A70674,Martha,,11,0.84,3,20.6,to,23.6,yes,09/06/2011,92,0.26,35.2,-17.22,32.67,-17.09,0.84,14.33,44.74,3.64
A70674,Martha,,12,0.83,3,23.6,to,26.6,no,,,,16.72,-18.26,14.21,-18.13,0.83,12.61,39.17,3.62
