specimen_ID,sex,age,side_face,row,column,position_on_face,whisker_presence,extradermal_length_mm,intradermal_length_mm,total_length_mm
SH01,Female,Adult,Left,A,1,A1,Present,54.2,4.1,58.3
SH01,Female,Adult,Right,A,1,A1,Present,49.1,3.4,52.5
SH01,Female,Adult,Left,A,2,A2,Present,19.1,3.6,22.7
SH01,Female,Adult,Right,A,2,A2,Present,37.5,4.1,41.6
SH01,Female,Adult,Left,A,3,A3,Present,6.2,3.1,9.3
SH01,Female,Adult,Right,A,3,A3,Present,25.1,1.9,27
SH01,Female,Adult,Left,B,1,B1,Present,74.3,5.2,79.4
SH01,Female,Adult,Right,B,1,B1,Present,35.2,5.9,41.1
SH01,Female,Adult,Left,B,2,B2,Present,73.9,5,78.9
SH01,Female,Adult,Right,B,2,B2,Present,72.7,4.7,77.4
SH01,Female,Adult,Left,B,3,B3,Present,59.1,3,62.1
SH01,Female,Adult,Right,B,3,B3,Present,46.1,4.6,50.7
SH01,Female,Adult,Left,B,4,B4,Present,24.5,2.2,26.7
SH01,Female,Adult,Right,B,4,B4,Present,16.4,2.9,19.3
SH01,Female,Adult,Left,B,5,B5,Present,11.3,1.4,12.7
SH01,Female,Adult,Right,B,5,B5,Present,5.9,1.6,7.5
SH01,Female,Adult,Left,C,1,C1,Present,58.4,6,64.4
SH01,Female,Adult,Right,C,1,C1,Present,40.4,6.3,46.6
SH01,Female,Adult,Left,C,2,C2,Present,75.9,5.3,81.2
SH01,Female,Adult,Right,C,2,C2,Present,101,5.4,106.3
SH01,Female,Adult,Left,C,3,C3,Present,70,4.3,74.3
SH01,Female,Adult,Right,C,3,C3,Present,35.6,5.4,41
SH01,Female,Adult,Left,C,4,C4,Present,20.3,3.2,23.5
SH01,Female,Adult,Right,C,4,C4,Present,15.4,3.7,19
SH01,Female,Adult,Left,C,5,C5,Present,5.2,3,8.2
SH01,Female,Adult,Right,C,5,C5,Present,5.4,2.5,7.9
SH01,Female,Adult,Left,C,6,C6,Present,7.8,1.5,9.3
SH01,Female,Adult,Left,D,1,D1,Present,62.5,6.5,69
SH01,Female,Adult,Right,D,1,D1,Present,98.8,6,104.8
SH01,Female,Adult,Left,D,2,D2,Present,72,6.4,78.4
SH01,Female,Adult,Right,D,2,D2,Present,84.4,5.4,89.8
SH01,Female,Adult,Left,D,3,D3,Present,76.7,5,81.7
SH01,Female,Adult,Right,D,3,D3,Present,88.8,3.6,92.3
SH01,Female,Adult,Left,D,4,D4,Present,33.6,3.4,37
SH01,Female,Adult,Right,D,4,D4,Present,46,3.8,49.8
SH01,Female,Adult,Left,D,5,D5,Present,21.6,2.7,24.3
SH01,Female,Adult,Right,D,5,D5,Present,18.4,3.9,22.3
SH01,Female,Adult,Left,D,6,D6,Present,8,1.1,9.1
SH01,Female,Adult,Right,D,6,D6,Present,17.3,3,20.3
SH01,Female,Adult,Left,D,7,D7,Present,7.2,1.3,8.5
SH01,Female,Adult,Left,E,1,E1,Present,80.7,6.1,86.8
SH01,Female,Adult,Right,E,1,E1,Present,94,6.2,100.1
SH01,Female,Adult,Left,E,2,E2,Present,77.5,5.5,83
SH01,Female,Adult,Right,E,2,E2,Present,85.3,5.9,91.1
SH01,Female,Adult,Left,E,3,E3,Present,78,4.8,82.8
SH01,Female,Adult,Right,E,3,E3,Present,66.7,5.6,72.2
SH01,Female,Adult,Left,E,4,E4,Present,62.5,4,66.5
SH01,Female,Adult,Right,E,4,E4,Present,47.8,4.3,52.1
SH01,Female,Adult,Left,E,5,E5,Present,35.1,2.4,37.5
SH01,Female,Adult,Right,E,6,E6,Present,13.1,3.7,16.8
SH01,Female,Adult,Right,F,1,F1,Present,72.6,6.4,79
SH01,Female,Adult,Left,F,2,F2,Present,82.3,5.5,87.8
SH01,Female,Adult,Right,F,2,F2,Present,64.4,4.8,69.2
SH01,Female,Adult,Left,F,3,F3,Present,77.7,3.5,81.2
SH01,Female,Adult,Right,F,3,F3,Present,38.7,4.7,43.4
SH01,Female,Adult,Left,F,4,F4,Present,48.5,3.8,52.3
SH01,Female,Adult,Right,F,5,F5,Present,25,3.6,28.6
SH01,Female,Adult,Right,F,6,F6,Present,13,3.5,16.4
SH01,Female,Adult,Right,F,7,F7,Present,14,3.3,17.2
SH02,Female,Adult,Left,A,1,A1,Present,85.3,4.1,89.4
SH02,Female,Adult,Right,A,1,A1,Present,40.1,3.1,43.2
SH02,Female,Adult,Left,A,2,A2,Present,56.6,2.5,59.1
SH02,Female,Adult,Right,A,2,A2,Present,31.5,2.1,33.6
SH02,Female,Adult,Left,A,3,A3,Present,28.4,2.8,31.1
SH02,Female,Adult,Right,A,3,A3,Present,26.3,2.8,29.1
SH02,Female,Adult,Left,A,4,A4,Present,14.6,2.3,16.9
SH02,Female,Adult,Left,B,1,B1,Present,99.5,4.6,104.1
SH02,Female,Adult,Right,B,1,B1,Present,100.2,4,104.2
SH02,Female,Adult,Left,B,2,B2,Present,65.1,3.8,68.9
SH02,Female,Adult,Right,B,2,B2,Present,78.6,4.4,83
SH02,Female,Adult,Left,B,3,B3,Present,53.9,2.9,56.7
SH02,Female,Adult,Right,B,3,B3,Present,58.8,3.9,62.6
SH02,Female,Adult,Left,B,4,B4,Present,16.6,3.4,20
SH02,Female,Adult,Right,B,4,B4,Present,6.7,3.5,10.2
SH02,Female,Adult,Right,B,5,B5,Present,7.5,2.6,10
SH02,Female,Adult,Left,C,1,C1,Present,111.1,5.6,116.7
SH02,Female,Adult,Right,C,1,C1,Present,85.6,5.7,91.3
SH02,Female,Adult,Left,C,2,C2,Present,105.1,4.7,109.8
SH02,Female,Adult,Right,C,2,C2,Present,91.6,4.7,96.3
SH02,Female,Adult,Left,C,3,C3,Present,64.9,3.3,68.2
SH02,Female,Adult,Right,C,3,C3,Present,68.2,3.9,72.1
SH02,Female,Adult,Right,C,4,C4,Present,35.2,3.1,38.3
SH02,Female,Adult,Left,C,5,C5,Present,18.2,1.7,19.9
SH02,Female,Adult,Left,D,1,D1,Present,132.2,5.4,137.5
SH02,Female,Adult,Right,D,1,D1,Present,108.8,4.6,113.4
SH02,Female,Adult,Left,D,2,D2,Present,105.7,5,110.7
SH02,Female,Adult,Right,D,2,D2,Present,76.5,5.9,82.4
SH02,Female,Adult,Left,D,3,D3,Present,86.6,4.2,90.8
SH02,Female,Adult,Right,D,3,D3,Present,74.1,4.7,78.8
SH02,Female,Adult,Left,D,4,D4,Present,40.5,3.8,44.3
SH02,Female,Adult,Right,D,4,D4,Present,25.3,4.1,29.4
SH02,Female,Adult,Right,D,5,D5,Present,9,3,12
SH02,Female,Adult,Left,D,6,D6,Present,7.3,3,10.3
SH02,Female,Adult,Right,D,6,D6,Present,17.2,1.7,18.9
SH02,Female,Adult,Left,E,1,E1,Present,109.6,5.4,115
SH02,Female,Adult,Right,E,1,E1,Present,86.3,6,92.3
SH02,Female,Adult,Left,E,2,E2,Present,80.7,5.6,86.3
SH02,Female,Adult,Right,E,2,E2,Present,80.4,6.2,86.6
SH02,Female,Adult,Left,E,3,E3,Present,85.5,6,91.5
SH02,Female,Adult,Right,E,3,E3,Present,71.5,5.5,77
SH02,Female,Adult,Left,E,4,E4,Present,49.7,5.7,55.4
SH02,Female,Adult,Right,E,4,E4,Present,46.6,4.2,50.8
SH02,Female,Adult,Left,E,5,E5,Present,32.7,4,36.6
SH02,Female,Adult,Right,E,5,E5,Present,30.6,3.4,33.9
SH02,Female,Adult,Left,E,6,E6,Present,19.1,2.5,21.6
SH02,Female,Adult,Right,E,6,E6,Present,14.8,2.5,17.3
SH02,Female,Adult,Left,E,7,E7,Present,4.7,3.7,8.3
SH02,Female,Adult,Right,E,7,E7,Present,1.1,0.3,1.4
SH02,Female,Adult,Left,F,1,F1,Present,70.2,4.9,75
SH02,Female,Adult,Right,F,1,F1,Present,34.5,6.3,40.8
SH02,Female,Adult,Left,F,2,F2,Present,74,4.3,78.3
SH02,Female,Adult,Right,F,2,F2,Present,20.8,5,25.8
SH02,Female,Adult,Left,F,3,F3,Present,57.5,4.7,62.2
SH02,Female,Adult,Right,F,3,F3,Present,5.3,4.2,9.5
SH02,Female,Adult,Left,F,4,F4,Present,36.2,4.4,40.6
SH02,Female,Adult,Right,F,4,F4,Present,10.4,3.3,13.7
SH02,Female,Adult,Left,F,5,F5,Present,13.1,3.8,16.9
SH02,Female,Adult,Right,F,5,F5,Present,7.9,1,8.9
SH02,Female,Adult,Left,F,6,F6,Present,17.8,3.8,21.6
SH02,Female,Adult,Right,F,6,F6,Present,3.8,1,4.8
SH03,Male,Yearling,Left,A,1,A1,Present,47.6,3.7,51.3
SH03,Male,Yearling,Right,A,1,A1,Present,57,3.2,60.1
SH03,Male,Yearling,Left,A,2,A2,Present,28.2,4.3,32.5
SH03,Male,Yearling,Right,A,2,A2,Present,28.5,3.5,32
SH03,Male,Yearling,Left,A,3,A3,Present,14.2,2.9,17.1
SH03,Male,Yearling,Right,A,3,A3,Present,8.8,2.7,11.5
SH03,Male,Yearling,Left,B,1,B1,Present,97.7,5.2,102.8
SH03,Male,Yearling,Right,B,1,B1,Present,80.2,4.7,84.9
SH03,Male,Yearling,Left,B,2,B2,Present,70.6,3.7,74.3
SH03,Male,Yearling,Right,B,2,B2,Present,59.8,4.3,64.1
SH03,Male,Yearling,Left,B,3,B3,Present,45.4,1.7,47
SH03,Male,Yearling,Right,B,3,B3,Present,42.3,2.9,45.1
SH03,Male,Yearling,Left,B,4,B4,Present,23.1,2,25
SH03,Male,Yearling,Right,B,4,B4,Present,20,2.3,22.3
SH03,Male,Yearling,Left,B,5,B5,Present,5.7,1.7,7.3
SH03,Male,Yearling,Left,C,1,C1,Present,112.4,4.8,117.2
SH03,Male,Yearling,Right,C,1,C1,Present,84.3,5.8,90.1
SH03,Male,Yearling,Left,C,2,C2,Present,74,4,78
SH03,Male,Yearling,Right,C,2,C2,Present,61.5,4.4,65.9
SH03,Male,Yearling,Left,C,3,C3,Present,50.5,4.3,54.8
SH03,Male,Yearling,Right,C,3,C3,Present,63.2,3.9,67.1
SH03,Male,Yearling,Left,C,4,C4,Present,36.3,2.9,39.2
SH03,Male,Yearling,Right,C,4,C4,Present,28.2,3.5,31.7
SH03,Male,Yearling,Left,C,5,C5,Present,14.8,3.8,18.6
SH03,Male,Yearling,Right,C,5,C5,Present,6.6,3.9,10.4
SH03,Male,Yearling,Left,C,6,C6,Present,8.6,2,10.6
SH03,Male,Yearling,Right,C,6,C6,Present,6,2.7,8.7
SH03,Male,Yearling,Left,D,1,D1,Present,107.7,6.9,114.6
SH03,Male,Yearling,Right,D,1,D1,Present,109.3,6.4,115.7
SH03,Male,Yearling,Left,D,2,D2,Present,100.8,6.5,107.3
SH03,Male,Yearling,Right,D,2,D2,Present,92.5,5.4,97.9
SH03,Male,Yearling,Left,D,3,D3,Present,44.5,6.5,51
SH03,Male,Yearling,Right,D,3,D3,Present,72.2,4.2,76.4
SH03,Male,Yearling,Left,D,4,D4,Present,47.7,4,51.7
SH03,Male,Yearling,Right,D,4,D4,Present,41.4,3.4,44.8
SH03,Male,Yearling,Right,D,5,D5,Present,22.3,2.2,24.4
SH03,Male,Yearling,Left,D,6,D6,Present,8.9,1.5,10.4
SH03,Male,Yearling,Right,D,6,D6,Present,14.6,2.2,16.7
SH03,Male,Yearling,Left,D,7,D7,Present,7.2,0.9,8.1
SH03,Male,Yearling,Right,D,7,D7,Present,4,2.6,6.5
SH03,Male,Yearling,Left,E,1,E1,Present,108.1,5.2,113.3
SH03,Male,Yearling,Right,E,1,E1,Present,104.1,5.5,109.6
SH03,Male,Yearling,Left,E,2,E2,Present,72.9,6.7,79.6
SH03,Male,Yearling,Right,E,2,E2,Present,96.2,4.3,100.5
SH03,Male,Yearling,Left,E,3,E3,Present,71.2,5.8,77
SH03,Male,Yearling,Right,E,3,E3,Present,75.2,4.3,79.5
SH03,Male,Yearling,Left,E,4,E4,Present,46.1,4.4,50.4
SH03,Male,Yearling,Right,E,4,E4,Present,52.6,3.6,56.2
SH03,Male,Yearling,Left,E,5,E5,Present,31.1,3.5,34.6
SH03,Male,Yearling,Right,E,5,E5,Present,33.2,3.3,36.5
SH03,Male,Yearling,Left,E,6,E6,Present,7.8,2.9,10.6
SH03,Male,Yearling,Right,E,6,E6,Present,17.2,3,20.1
SH03,Male,Yearling,Left,E,7,E7,Present,4.5,1.4,5.9
SH03,Male,Yearling,Right,E,7,E7,Present,7.6,3,10.5
SH03,Male,Yearling,Left,F,1,F1,Present,83.8,4.5,88.3
SH03,Male,Yearling,Right,F,1,F1,Present,80.9,5.1,85.9
SH03,Male,Yearling,Right,F,2,F2,Present,66.7,4.9,71.6
SH03,Male,Yearling,Right,F,3,F3,Present,48.9,3.2,52.1
SH03,Male,Yearling,Left,F,4,F4,Present,9,4.3,13.2
SH03,Male,Yearling,Right,F,4,F4,Present,30.3,2.7,33
SH03,Male,Yearling,Left,F,5,F5,Present,15.2,3.6,18.8
SH03,Male,Yearling,Right,F,5,F5,Present,13.2,3.7,16.9
SH03,Male,Yearling,Left,F,6,F6,Present,8.8,2.4,11.2
SH03,Male,Yearling,Right,F,6,F6,Present,15.6,3.4,18.9
SH03,Male,Yearling,Left,F,7,F7,Present,11,2.7,13.7
SH03,Male,Yearling,Right,F,7,F7,Present,7.5,3.2,10.7
SH04,Male,Yearling,Left,A,1,A1,Present,56.4,4.5,60.9
SH04,Male,Yearling,Right,A,1,A1,Present,69,4.4,73.3
SH04,Male,Yearling,Left,A,2,A2,Present,10.8,4.9,15.7
SH04,Male,Yearling,Left,A,3,A3,Present,19,3.4,22.4
SH04,Male,Yearling,Right,A,3,A3,Present,7.1,3.4,10.5
SH04,Male,Yearling,Left,A,4,A4,Present,15.4,2.2,17.6
SH04,Male,Yearling,Right,B,1,B1,Present,85.1,5.9,90.9
SH04,Male,Yearling,Right,B,2,B2,Present,79.3,4.8,84.1
SH04,Male,Yearling,Right,B,3,B3,Present,57.5,4.4,61.9
SH04,Male,Yearling,Right,B,4,B4,Present,22.5,3.5,26
SH04,Male,Yearling,Right,B,5,B5,Present,12.7,2.5,15.2
SH04,Male,Yearling,Right,C,1,C1,Present,84.9,6.3,91.2
SH04,Male,Yearling,Right,C,2,C2,Present,111.8,6,117.8
SH04,Male,Yearling,Right,C,3,C3,Present,62.5,5.3,67.8
SH04,Male,Yearling,Right,C,4,C4,Present,7.9,4.5,12.3
SH04,Male,Yearling,Right,C,5,C5,Present,5.7,2.9,8.6
SH04,Male,Yearling,Right,C,6,C6,Present,6.5,1.2,7.6
SH04,Male,Yearling,Right,D,1,D1,Present,137.2,6.1,143.3
SH04,Male,Yearling,Right,D,2,D2,Present,125.9,5.8,131.7
SH04,Male,Yearling,Right,D,3,D3,Present,108.4,3.7,112.1
SH04,Male,Yearling,Right,D,5,D5,Present,33.7,3.7,37.4
SH04,Male,Yearling,Right,D,6,D6,Present,18.8,1.9,20.7
SH04,Male,Yearling,Right,D,7,D7,Present,8.7,1.5,10.2
SH04,Male,Yearling,Right,E,1,E1,Present,127.3,5.5,132.8
SH04,Male,Yearling,Right,E,2,E2,Present,110.6,6.1,116.7
SH04,Male,Yearling,Right,E,3,E3,Present,88.3,5,93.2
SH04,Male,Yearling,Right,E,4,E4,Present,11.5,4.9,16.4
SH04,Male,Yearling,Right,E,5,E5,Present,15.1,3,18.1
SH04,Male,Yearling,Right,E,6,E6,Present,7.7,3.7,11.4
SH04,Male,Yearling,Right,F,1,F1,Present,36,6.9,42.9
SH04,Male,Yearling,Right,F,3,F3,Present,67.4,4.9,72.3
SH04,Male,Yearling,Right,F,4,F4,Present,36.4,4.4,40.8
SH04,Male,Yearling,Right,F,5,F5,Present,32,2.8,34.8
SH04,Male,Yearling,Right,F,6,F6,Present,15.5,2.6,18.1
SH05,Female,Adult,Left,A,1,A1,Present,50.3,2.4,52.7
SH05,Female,Adult,Right,A,1,A1,Present,75.1,4.6,79.6
SH05,Female,Adult,Left,A,2,A2,Present,16.2,4.3,20.5
SH05,Female,Adult,Right,A,2,A2,Present,49.7,3.6,53.3
SH05,Female,Adult,Left,A,3,A3,Present,19.8,2.1,21.9
SH05,Female,Adult,Right,A,3,A3,Present,26.5,3.9,30.4
SH05,Female,Adult,Right,A,4,A4,Present,16,3.8,19.8
SH05,Female,Adult,Left,B,1,B1,Present,123.8,5.7,129.5
SH05,Female,Adult,Right,B,1,B1,Present,71.1,5.8,76.8
SH05,Female,Adult,Left,B,3,B3,Present,46.1,3.6,49.7
SH05,Female,Adult,Right,B,3,B3,Present,56.6,3.5,60.1
SH05,Female,Adult,Right,B,4,B4,Present,21.7,3,24.7
SH05,Female,Adult,Left,B,5,B5,Present,10.2,1.5,11.7
SH05,Female,Adult,Right,B,5,B5,Present,5.7,2.4,8.1
SH05,Female,Adult,Left,C,1,C1,Present,127.1,6.2,133.2
SH05,Female,Adult,Right,C,1,C1,Present,128.6,5.4,134
SH05,Female,Adult,Left,C,2,C2,Present,119.9,5.2,125.1
SH05,Female,Adult,Right,C,2,C2,Present,117.2,6,123.1
SH05,Female,Adult,Right,C,3,C3,Present,64.9,4.9,69.8
