date_collected,specimen_ID,name,sex,age,row,column,position_on_face,estimated_intradermal_length_mm,extradermal_length_mm,estimated_total_length_mm
28/06/2018,900006000156501,Williams,Female,Adult,F,1,F1,5.5,87,92.5
26/06/2018,900006000170244,Edberg,Male,Adult,C,1,C1,5.4,38,43.4
28/06/2018,900006000170415,Asahi,Female,Adult,B,1,B1,4.9,75,79.9
26/06/2018,900006000170940,Comaneci,Female,Adult,F,1,F1,5.5,70.5,76.0
28/06/2018,900006000171249,Yurovsky,Female,Adult,E,1,E1,5.5,65.5,71.0
26/06/2018,900006000171649,Thorpe,Male,Adult,D,1,D1,5.7,39.5,45.2
26/06/2018,900006000172720,Halep,Female,Adult,C,1,C1,5.4,100,105.4
28/06/2018,900006000210892,Rosewall,Male,Adult,B,1,B1,4.9,71,75.9
18/06/2019,900164001721694,Kohoutek,Male,Yearling,C,1,C1,5.4,122,127.4
09/06/2018,943094320340389,Sebastian,Male,Adult,D,1,D1,5.7,51.5,57.2
01/09/2018,943094320340406,Io,Female,Adult,D,1,D1,5.7,108,113.7
03/06/2018,943094320340419,Napoleon,Male,Adult,C,1,C1,5.4,113,118.4
06/09/2018,943094320388172,Kennedy,Male,Adult,C,1,C1,5.4,73,78.4
24/08/2018,943094320388245,Zagreb,Male,Adult,D,1,D1,5.7,78,83.7
08/05/2019,943094320388245,Zagreb,Male,Adult,B,1,B1,4.9,82,86.9
11/07/2018,943094320388370,Amsterdam,Male,Adult,C,1,C1,5.4,80,85.4
07/07/2018,943094320388804,Frangipani,Female,Adult,E,1,E1,5.5,79,84.5
10/09/2018,943094320388804,Frangipani,Female,Adult,E,1,E1,5.5,96.5,102.0
07/06/2019,943094320388804,Frangipani,Female,Adult,C,1,C1,5.4,89.5,94.9
05/06/2018,943094320388819,Jefferson,Male,Adult,B,1,B1,4.9,132,136.9
17/05/2019,943094320388819,Jefferson,Male,Adult,C,1,C1,5.4,49,54.4
26/06/2019,943094320388819,Jefferson,Male,Adult,F,1,F1,5.5,56,61.5
10/09/2018,943094320422094,Questa,Female,Adult,C,1,C1,5.4,61.5,66.9
18/08/2018,943094320422698,Pavlova,Female,Adult,E,1,E1,5.5,72,77.5
07/05/2019,943094320422698,Pavlova,Female,Adult,C,1,C1,5.4,94,99.4
06/09/2018,943094320422910,Umm,Female,Adult,E,1,E1,5.5,80.5,86.0
04/09/2018,943094320451190,Eleanor,Female,Adult,F,1,F1,5.5,63.5,69.0
22/05/2019,943094320451190,Eleanor,Female,Adult,E,1,E1,5.5,88.5,94.0
18/08/2018,943094320451785,Yerusha,Female,Adult,C,1,C1,5.4,48,53.4
30/06/2019,943094320451785,Yerusha,Female,Adult,D,1,D1,5.7,63.5,69.2
05/09/2018,943094320451865,Furina,Female,Adult,C,1,C1,5.4,81,86.4
12/07/2018,943094320483241,Bhutto,Female,Adult,D,1,D1,5.7,92,97.7
03/09/2018,943094320483451,Odile,Female,Adult,C,1,C1,5.4,121,126.4
21/08/2018,943094320483552,Dodoma,Female,Adult,F,1,F1,5.5,100.5,106.0
09/05/2019,943094320483636,Sydney,Male,Adult,C,1,C1,5.4,90,95.4
05/09/2018,943094320483771,Lincoln,Male,Adult,E,1,E1,5.5,58.5,64.0
19/05/2019,943094320483771,Lincoln,Male,Adult,B,1,B1,4.9,63,67.9
20/08/2018,943094320483875,Kiev,Male,Adult,B,1,B1,4.9,57.5,62.4
06/05/2019,943094320483875,Kiev,Male,Adult,E,1,E1,5.5,90,95.5
13/07/2018,943094320483886,Funafuti,Male,Adult,D,1,D1,5.7,80,85.7
07/06/2018,943094320483916,Tallinn,Male,Adult,A,1,A1,3.7,101,104.7
19/09/2018,943094320483916,Tallinn,Male,Adult,F,1,F1,5.5,80,85.5
05/09/2018,943094320483922,Marvell,Male,Adult,D,1,D1,5.7,74,79.7
16/05/2019,943094320483922,Marvell,Male,Adult,C,1,C1,5.4,115,120.4
04/10/2018,943094320483937,Mimosa,Female,Adult,C,1,C1,5.4,113.5,118.9
18/08/2018,943094320483963,Ottawa,Female,Adult,C,1,C1,5.4,75,80.4
04/06/2018,943094320483973,Lulu,Female,Adult,B,1,B1,4.9,84.5,89.4
14/09/2018,943094320483973,Lulu,Female,Adult,E,1,E1,5.5,105.5,111.0
08/07/2018,943094320483985,Vilnius,Male,Adult,D,1,D1,5.7,80.5,86.2
06/05/2019,943094320483985,Vilnius,Male,Adult,C,1,C1,5.4,51.5,56.9
19/08/2018,943094320483986,Echuca,Female,Adult,C,1,C1,5.4,124,129.4
22/08/2018,943094320484017,Oslo,Male,Adult,E,1,E1,5.5,84,89.5
10/05/2019,943094320484024,Ixtapa,Female,Adult,D,1,D1,5.7,89,94.7
02/08/2018,943094320494415,Bellatrix,Female,Adult,C,1,C1,5.4,93,98.4
26/09/2018,943094320494415,Bellatrix,Female,Adult,E,1,E1,5.5,38,43.5
